TIME,LABEL,Set,Movement,cues,Type,Gap,Rest,Connect,Voices_dec,Note_rate_dec,Drone,TextInc,Phr_end,Phr_begining,Elide,Sequence,Rubato,Rit,Fermata,Tempo_inc,Diminuendo,Fp/Fz,Cresc,Precision,end,OLDTIME,SoundAmp_pre,SoundAmp_post,SoundAmp_shift,OnsetRate_pre,OnsetRate_post,OnsetRate_shift,QoMmean_pre,QoMmean_post,QoMmean_shift,QoMmedian_pre,QoMmedian_post,QoMmedian_shift
2061.36,3.0,2,1,1.0,pause,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2061.36,0.027854245251183414,0.009345583754589572,-0.01850866149659384,0.096,0.0,-0.096,0.1818039564279536,0.14099071448956052,-0.040813241938393086,0.08146058705489276,0.07712206459128289,-0.00433852246360987
2069.71,4.6,2,1,1.0,pause,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2069.71,0.036322130255186054,0.0049037041979826754,-0.03141842605720338,0.16,0.0,-0.16,0.10107780894955982,0.09639570101665704,-0.004682107932902788,0.06948964187384013,0.06475673607070433,-0.0047329058031358034
2086.1,8.75,2,1,0.0,break,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2086.1,0.04312948635660621,0.007233094207323135,-0.03589639214928308,0.29818181818181816,0.0,-0.29818181818181816,0.10784722393007272,0.10278180361367285,-0.005065420316399866,0.06796145914378077,0.06691976451643225,-0.0010416946273485161
2091.04,10.5,2,1,0.0,lift,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2091.04,0.022515722178699533,0.0112803092485738,-0.011235412930125734,0.256,0.15999999999999998,-0.09600000000000003,0.08374435923140797,0.0930237326337382,0.009279373402330232,0.06305030962765451,0.06902855144137944,0.00597824181372493
2109.89,14.99,2,1,1.0,breath,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2109.68,0.05311783252876477,0.10806848549239959,0.05495065296363481,0.188,0.044,-0.14400000000000002,0.08715264296485367,0.08680039271631965,-0.0003522502485340251,0.06268709562487318,0.06678603928020851,0.004098943655335335
2116.85,16.99,2,1,0.0,breath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2116.85,0.06519348504421066,0.13722965994586173,0.07203617490165107,0.2760000000000001,0.45200000000000007,0.176,0.12059197006938253,0.08339602971862368,-0.03719594035075885,0.06545183600325252,0.06934995598883224,0.0038981199855797205
2140.8,23.0,2,1,1.0,thin,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2140.8,0.011033014544386197,0.010161478179647904,-0.0008715363647382925,0.03636363636363637,0.04363636363636364,0.007272727272727271,0.07456771917791187,0.07003168444261296,-0.004536034735298913,0.05831862319275929,0.05771339822355526,-0.000605224969204031
2153.63,26.0,2,1,1.0,gather,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2153.63,0.06439180255852557,0.010072331250180717,-0.05431947130834486,0.23200000000000004,0.012,-0.22000000000000003,0.09496254271529525,0.06954727128459007,-0.025415271430705183,0.06597797191938345,0.05354836932089426,-0.012429602598489194
2251.09,47.99,2,1,2.0,breath,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2250.96,0.02144843025513666,0.007323160198758153,-0.014125270056378507,0.22800000000000004,0.0,-0.22800000000000004,0.07477341070138509,0.06896461090324572,-0.0058087997981393635,0.05998795922773418,0.05479341684292673,-0.005194542384807446
2290.35,58.0,2,1,1.0,Halt,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2290.35,0.1313677124922471,0.0138235732466222,-0.1175441392456249,0.152,0.036,-0.11599999999999999,0.09191781675709472,0.07893805806587248,-0.01297975869122224,0.06795638946422315,0.06360849809233506,-0.004347891371888096
2323.04,64.67,2,1,1.0,Halt,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2323.04,0.08229382997652937,0.0028999098244538875,-0.07939392015207548,0.288,0.0,-0.288,0.06899499974367036,0.07106829020439372,0.0020732904607233538,0.05921858261983052,0.05616864399176515,-0.0030499386280653656
