TIME,Criterion
291.192,LowLow
385.2,LowLow
387.384,LowLow
852.456,LowLow
882.1,LowLow
889.272,LowLow
908.39,LowLow
926.232,LowLow
940.56,LowLow
943.872,LowLow
1131.96,LowLow
1198.53,LowLow
1253.928,LowLow
1572.11,LowLow
1583.58,LowLow
2140.8,LowLow
2251.093333,LowLow
2323.04,LowLow
2355.906667,LowLow
2509.813333,LowLow
2946.933333,LowLow
3009.07,LowLow
3236.52,LowLow
3266.45,LowLow
5447.893333,LowLow
5567.066667,LowLow
6326.43,LowLow
6340.493333,LowLow
6352.546667,LowLow
6359.026667,LowLow
6365.226667,LowLow
6408.32,LowLow
6448.01,LowLow
6464.86,LowLow
6477.533333,LowLow
6618.94,LowLow
7228.91,LowLow
7297.706667,LowLow
7315.43,LowLow
7331.213333,LowLow
7363.346667,LowLow
7419.226667,LowLow
7468.76,LowLow
7477.77,LowLow
7517.61,LowLow
7527.613333,LowLow
7660.992,LowLow
7711.69,LowLow
7744.490667,LowLow
