TIME,Criterion
65.837,0.5Dec
79.016,0.5Dec
88.74666667,0.5Dec
115.2853333,0.5Dec
133.376,0.5Dec
139.1786667,0.5Dec
146.165,0.5Dec
151.872,0.5Dec
157.92,0.5Dec
176.16,0.5Dec
180.72,0.5Dec
183.36,0.5Dec
222.864,0.5Dec
230.304,0.5Dec
238.464,0.5Dec
268.176,0.5Dec
281.952,0.5Dec
291.192,LowLow
307.4346667,0.5Dec
352.44,0.5Dec
364.186,0.5Dec
380.6293333,0.5Dec
382.824,0.5Dec
385.2,LowLow
387.384,LowLow
390.1226667,0.5Dec
419.197,0.5Dec
427.205,0.5Dec
436.2453333,0.5Dec
452.48,0.5Dec
457.632,0.5Dec
488.64,0.5Dec
497.0453333,0.5Dec
515.264,0.5Dec
524.0746667,0.5Dec
602.8373333,0.5Dec
619.752,0.5Dec
628.8,0.5Dec
646.656,0.5Dec
655.632,0.5Dec
670.152,0.5Dec
716.28,0.5Dec
787.56,0.5Dec
819.744,0.5Dec
827.088,0.5Dec
838.368,0.5Dec
852.456,LowLow
862.15,0.5Dec
882.1,LowLow
889.272,LowLow
908.39,LowLow
926.232,LowLow
933.672,0.5Dec
940.56,LowLow
943.872,LowLow
989.592,0.5Dec
1037.04,0.5Dec
1116.456,0.5Dec
1121.64,0.5Dec
1131.96,LowLow
1137.36,0.5Dec
1148.28,0.5Dec
1152.88,0.5Dec
1175.52,0.5Dec
1188.504,0.5Dec
1198.53,LowLow
1204.584,0.5Dec
1220.616,0.5Dec
1240.44,0.5Dec
1247.256,0.5Dec
1253.928,LowLow
1281.36,0.5Dec
1312.13,0.5Dec
1338.37,0.5Dec
1369.92,0.5Dec
1462.272,0.5Dec
1477.09,0.5Dec
1482.43,0.5Dec
1524.61,0.5Dec
1539.47,0.5Dec
1561.95,0.5Dec
1565.31,0.5Dec
1572.11,LowLow
1583.58,LowLow
2086.53,0.5Dec
2140.8,LowLow
2153.63,0.5Dec
2251.093333,LowLow
2323.04,LowLow
2355.906667,LowLow
2363.23,0.5Dec
2407.346667,0.5Dec
2425.973333,0.5Dec
2433.2,0.5Dec
2435.453333,0.5Dec
2461.47,0.5Dec
2474.786667,0.5Dec
2490.59,0.5Dec
2509.813333,LowLow
2515.12,0.5Dec
2528.27,0.5Dec
2610.506667,0.5Dec
2710.333333,0.5Dec
2740.27,0.5Dec
2747.133333,0.5Dec
2824.0,0.5Dec
2834.4,0.5Dec
2946.933333,LowLow
2964.51,0.5Dec
3009.07,LowLow
3084.053333,0.5Dec
3121.63,0.5Dec
3142.6,0.5Dec
3236.52,LowLow
3266.45,LowLow
5399.586667,0.5Dec
5424.373333,0.5Dec
5447.893333,LowLow
5567.066667,LowLow
5664.826667,0.5Dec
5885.13,0.5Dec
6011.506667,0.5Dec
6299.12,0.5Dec
6312.946667,0.5Dec
6326.43,LowLow
6340.493333,LowLow
6352.546667,LowLow
6359.026667,LowLow
6365.226667,LowLow
6382.12,0.5Dec
6396.1,0.5Dec
6408.32,LowLow
6420.18,0.5Dec
6433.07,0.5Dec
6448.01,LowLow
6464.86,LowLow
6472.52,0.5Dec
6477.533333,LowLow
6490.9,0.5Dec
6541.55,0.5Dec
6579.44,0.5Dec
6591.01,0.5Dec
6618.94,LowLow
6628.573333,0.5Dec
6677.96,0.5Dec
6701.17,0.5Dec
6728.4,0.5Dec
6829.266667,0.5Dec
6839.666667,0.5Dec
6851.96,0.5Dec
6857.44,0.5Dec
6898.586667,0.5Dec
6902.373333,0.5Dec
6918.826667,0.5Dec
6979.653333,0.5Dec
6988.226667,0.5Dec
6999.91,0.5Dec
7141.466667,0.5Dec
7169.04,0.5Dec
7228.91,LowLow
7263.52,0.5Dec
7297.706667,LowLow
7315.43,LowLow
7331.213333,LowLow
7363.346667,LowLow
7419.226667,LowLow
7468.76,LowLow
7477.77,LowLow
7517.61,LowLow
7527.613333,LowLow
7660.992,LowLow
7711.69,LowLow
7744.490667,LowLow
7916.48,0.5Dec
