,Participant,Condition,Music,mQoM,aware_body,aware_movement,aware_others_moving,Motion_seen,Motion_seen_Max
0,ADQ001,Hall,Beethoven,0.06931013816506719,Intermittently,Yes and I moved less than usual,Yes and they moved less than usual,0.12786686219486768,0.14361515277674927
1,ADQ002,Hall,Beethoven,,Rarely,Not aware of movement,Not aware of others' movement,0.08544601200614518,0.0932323286934819
2,ADQ003,Hall,Beethoven,0.09441828532582225,Continuously,Yes and I moved a normal amount,Not aware of others' movement,0.10451970428075724,0.13290784323685845
3,ADQ004,Hall,Beethoven,0.10183246986744081,Not at all,Yes and I moved less than usual,Not aware of others' movement,0.10174742925291169,0.10794718402948272
4,ADQ005,Hall,Beethoven,0.07339625789281062,Intermittently,Yes and I moved less than usual,Yes and they moved a normal amount,0.05647136870110804,0.05647136870110804
5,ADQ006,Hall,Beethoven,0.10857148724819497,Continuously,Yes and I moved less than usual,Not aware of others' movement,0.09452251147636377,0.11461521646840918
6,ADQ007,Hall,Beethoven,0.07943627800972394,Continuously,Yes and I moved more than usual,Not aware of others' movement,0.07306161022238246,0.08445802292833135
7,ADQ008,Hall,Beethoven,0.08655114263128323,Intermittently,Yes and I moved a normal amount,Yes and they moved a normal amount,0.06818275545585882,0.07404132153310661
8,ADQ009,Hall,Beethoven,0.07894363302573691,Continuously,Yes and I moved less than usual,Not aware of others' movement,0.0853264806544706,0.10863526034833382
9,ADQ010,Hall,Beethoven,0.13290784323685845,Intermittently,Yes and I moved a normal amount,Yes and they moved a normal amount,0.09400712395790507,0.10052608222909223
10,ADQ011,Hall,Beethoven,0.08461819396212616,Intermittently,Yes and I moved less than usual,Not aware of others' movement,0.07407509931426892,0.0869590796424707
11,ADQ012,Hall,Beethoven,0.09233331764433143,Rarely,Yes and I moved a normal amount,Not aware of others' movement,0.08298549520797602,0.08298549520797602
12,ADQ013,Hall,Beethoven,0.04948269809888911,Intermittently,Yes and I moved less than usual,Not aware of others' movement,0.09488019696761787,0.14831013650978492
13,ADQ014,Hall,Beethoven,0.08945680311290241,Intermittently,Yes and I moved less than usual,Not aware of others' movement,0.10241445163072481,0.14431919808948784
14,ADQ015,Hall,Beethoven,0.0869590796424707,Intermittently,Yes and I moved a normal amount,Not aware of others' movement,0.08237675107514204,0.14831013650978492
15,ADQ016,Hall,Beethoven,0.16564432256121892,Not at all,Not aware of movement,Not aware of others' movement,0.06817637710923843,0.07988138551736881
16,ADQ017,Hall,Beethoven,,Rarely,Yes and I moved less than usual,Yes and they moved less than usual,0.09233331764433143,0.09233331764433143
17,ADQ018,Hall,Beethoven,0.10052608222909223,Intermittently,Yes and I moved less than usual,Yes and they moved a normal amount,0.10466399050452142,0.13290784323685845
18,ADQ019,Hall,Beethoven,0.10863526034833382,Not at all,Yes and I moved less than usual,Yes and they moved less than usual,0.08109482184513456,0.09502900950164858
19,ADQ020,Hall,Beethoven,0.11438693256718936,Continuously,Yes and I moved less than usual,Yes and they moved a normal amount,,
20,ADQ021,Hall,Beethoven,0.09664848634429031,Rarely,Yes and I moved a normal amount,Yes and they moved less than usual,0.0948508260412372,0.11461521646840918
21,ADQ022,Hall,Beethoven,0.0756937854424317,Rarely,Yes and I moved less than usual,Not aware of others' movement,0.07199823328981164,0.08461819396212616
22,ADQ023,Hall,Beethoven,0.09648505149907136,Rarely,Not aware of movement,Not aware of others' movement,0.10675832688626559,0.14361515277674927
23,ADQ024,Hall,Beethoven,0.11211857161298606,Intermittently,Yes and I moved a normal amount,Yes and they moved a normal amount,0.06931013816506719,0.06931013816506719
24,ADQ025,Hall,Beethoven,0.14831013650978492,Continuously,Yes and I moved a normal amount,Not aware of others' movement,0.07636382595255417,0.0929061467588561
25,ADQ026,Hall,Beethoven,0.07173899866041052,Intermittently,Not aware of movement,Not aware of others' movement,0.09438968267974651,0.09438968267974651
26,ADQ027,Hall,Beethoven,0.07426925955467616,Not at all,Not aware of movement,Not aware of others' movement,0.08613094718954702,0.14831013650978492
27,ADQ028,Hall,Beethoven,0.0699156661476783,Intermittently,Yes and I moved a normal amount,Not aware of others' movement,0.08555404623336743,0.0929061467588561
28,ADQ029,Hall,Beethoven,0.07890540989838005,Intermittently,Yes and I moved less than usual,Not aware of others' movement,0.0714960525017845,0.09350940690467988
29,ADQ030,Hall,Beethoven,0.1142230045600082,Intermittently,Yes and I moved less than usual,Not aware of others' movement,0.08038647059267046,0.09353452952866477
30,ADQ031,Hall,Beethoven,0.07034129159368427,Rarely,Yes and I moved less than usual,Yes and they moved less than usual,0.11133004446707648,0.14361515277674927
31,ADQ032,Hall,Beethoven,0.09350940690467988,Intermittently,Yes and I moved less than usual,Not aware of others' movement,0.08218892036279715,0.08547243082721424
32,ADQ033,Hall,Beethoven,0.06790916446065186,Intermittently,Yes and I moved less than usual,Yes and they moved less than usual,0.08171879557956233,0.10836170890429142
33,ADQ034,Hall,Beethoven,0.0929061467588561,Intermittently,Yes and I moved a normal amount,Not aware of others' movement,0.08647761161605777,0.14831013650978492
34,ADQ035,Hall,Beethoven,0.10095856550568269,Intermittently,Not aware of movement,Not aware of others' movement,0.10563185140634974,0.11461521646840918
35,ADQ036,Hall,Beethoven,0.05937827261749712,Rarely,Yes and I moved a normal amount,Yes and they moved a normal amount,0.0789849721780267,0.0869590796424707
36,ADQ037,Hall,Beethoven,0.10794718402948272,Intermittently,Yes and I moved a normal amount,Not aware of others' movement,0.0925825150780241,0.10682782185802389
37,ADQ038,Hall,Beethoven,0.07404132153310661,Rarely,Yes and I moved a normal amount,Not aware of others' movement,0.08655114263128323,0.08655114263128323
38,ADQ039,Hall,Beethoven,0.08445802292833135,Intermittently,Yes and I moved a normal amount,Not aware of others' movement,0.07597189024009218,0.09502900950164858
39,ADQ040,Hall,Beethoven,0.06292177331586084,Intermittently,Yes and I moved less than usual,Not aware of others' movement,0.06837819339974938,0.06943617477090107
40,ADQ041,Hall,Beethoven,0.09438968267974651,Intermittently,Yes and I moved a normal amount,Yes and they moved less than usual,0.07173899866041052,0.07173899866041052
41,ADQ042,Hall,Beethoven,0.09560394477408891,Intermittently,,,0.07838850757075004,0.08945680311290241
42,ADQ043,Hall,Beethoven,0.09446272765514543,Rarely,Not aware of movement,Not aware of others' movement,0.09441828532582225,0.09441828532582225
43,ADQ044,Hall,Beethoven,0.06943617477090107,Intermittently,Yes and I moved less than usual,Not aware of others' movement,0.0730687862856609,0.08547243082721424
44,ADQ045,Hall,Beethoven,0.06513253220021246,Intermittently,Yes and I moved more than usual,Not aware of others' movement,0.07592235938428474,0.08445802292833135
45,ADQ046,Hall,Beethoven,0.07759952353268443,Intermittently,Yes and I moved less than usual,Not aware of others' movement,0.06790916446065186,0.06790916446065186
46,ADQ047,Hall,Beethoven,0.08887577636358422,Intermittently,Yes and I moved a normal amount,Not aware of others' movement,0.09998838964445267,0.13290784323685845
47,ADQ048,Hall,Beethoven,0.06150141397802982,Intermittently,Yes and I moved a normal amount,Yes and they moved a normal amount,0.08051069071792419,0.09502900950164858
48,ADQ049,Hall,Beethoven,0.14431919808948784,Continuously,Yes and I moved more than usual,Yes and they moved more than usual,0.07838850757075004,0.08945680311290241
49,ADQ050,Hall,Beethoven,0.08477236042977562,Intermittently,Not aware of movement,Not aware of others' movement,0.07472051193838186,0.07472051193838186
50,ADQ051,Hall,Beethoven,0.05647136870110804,Rarely,Yes and I moved less than usual,Not aware of others' movement,0.10361914529138436,0.16564432256121892
51,ADQ052,Hall,Beethoven,0.11461521646840918,Intermittently,Yes and I moved less than usual,Not aware of others' movement,0.10925574867479773,0.14361515277674927
52,ADQ053,Hall,Beethoven,0.07988138551736881,Rarely,Yes and I moved a normal amount,Not aware of others' movement,0.11732377620307743,0.16564432256121892
53,ADQ054,Hall,Beethoven,0.08547243082721424,Rarely,Yes and I moved a normal amount,Not aware of others' movement,0.08147279083779047,0.09350940690467988
54,ADQ055,Hall,Beethoven,0.10836170890429142,Intermittently,Yes and I moved less than usual,Not aware of others' movement,0.06790916446065186,0.06790916446065186
55,ADQ056,Hall,Beethoven,0.06723841165667616,Rarely,Yes and I moved a normal amount,Not aware of others' movement,0.1142230045600082,0.1142230045600082
56,ADQ057,Hall,Beethoven,0.07081215471390759,Continuously,Yes and I moved less than usual,Yes and they moved less than usual,0.06943617477090107,0.06943617477090107
57,ADQ058,Hall,Beethoven,0.09467211898524203,Intermittently,Yes and I moved less than usual,Not aware of others' movement,,
58,ADQ059,Hall,Beethoven,0.08298549520797602,Intermittently,Yes and I moved a normal amount,Not aware of others' movement,0.09233331764433143,0.09233331764433143
59,ADQ060,Hall,Beethoven,0.06232418937861104,Continuously,Yes and I moved a normal amount,Yes and they moved a normal amount,0.08655114263128323,0.08655114263128323
60,ADQ061,Hall,Beethoven,0.06503623152601397,Rarely,Yes and I moved less than usual,Not aware of others' movement,0.09093408341356261,0.10863526034833382
61,ADQ062,Hall,Beethoven,0.06599237193419978,,,,0.07881442649067147,0.09502900950164858
62,ADQ063,Hall,Beethoven,0.08206996381119519,Intermittently,Yes and I moved a normal amount,Not aware of others' movement,0.06858252091964172,0.07943627800972394
63,ADQ064,Hall,Beethoven,0.06732021202859767,Intermittently,Yes and I moved a normal amount,Not aware of others' movement,0.08835688347824582,0.14431919808948784
64,ADQ065,Hall,Beethoven,0.07820194570787876,Not at all,Not aware of movement,Not aware of others' movement,0.09447205772269324,0.14831013650978492
65,ADQ066,Hall,Beethoven,0.14361515277674927,Intermittently,Yes and I moved less than usual,Yes and they moved less than usual,0.087687924431558,0.11461521646840918
66,ADR067,Hall,Beethoven,0.09502900950164858,Intermittently,Yes and I moved less than usual,Yes and they moved less than usual,0.07876399513353723,0.10863526034833382
67,ADR068,Hall,Beethoven,0.08475464132429648,Intermittently,Yes and I moved less than usual,Not aware of others' movement,,
68,ADR069,Hall,Beethoven,0.10287681840343013,Intermittently,Yes and I moved less than usual,Not aware of others' movement,0.09702538887470108,0.10794718402948272
69,ADR070,Hall,Beethoven,0.06469626221609893,Intermittently,Yes and I moved a normal amount,Not aware of others' movement,0.07096863409188808,0.08206996381119519
70,ADR071,Hall,Beethoven,0.07472051193838186,Rarely,Not aware of movement,Not aware of others' movement,0.08477236042977562,0.08477236042977562
71,AEQ077,Hall,Beethoven,0.05919515430171112,Intermittently,Yes and I moved a normal amount,Not aware of others' movement,0.08072184699465831,0.09353452952866477
72,AEQ078,Hall,Beethoven,0.09220835191312159,Continuously,Yes and I moved a normal amount,Not aware of others' movement,0.10743656727651163,0.13290784323685845
73,AEQ079,Hall,Beethoven,0.0662054270972753,Continuously,Yes and I moved less than usual,Yes and they moved less than usual,0.07537568382562788,0.0932323286934819
74,AEQ080,Hall,Beethoven,0.08624619940779135,Continuously,Yes and I moved a normal amount,Yes and they moved less than usual,0.07459817131240178,0.08918980130371656
75,AEQ081,Hall,Beethoven,0.10682782185802389,Intermittently,Yes and I moved a normal amount,Not aware of others' movement,0.08806656232530385,0.10794718402948272
76,AEQ082,Hall,Beethoven,0.07149407974385688,Intermittently,Yes and I moved a normal amount,Not aware of others' movement,0.10588394143031225,0.10794718402948272
77,AEQ083,Hall,Beethoven,0.07813334393238072,Continuously,Yes and I moved more than usual,Not aware of others' movement,0.09657416920336852,0.10682782185802389
78,AEQ084,Hall,Beethoven,0.06463051136719379,Intermittently,Yes and I moved less than usual,Not aware of others' movement,0.06545084465668712,0.0662054270972753
79,AEQ085,Hall,Beethoven,0.11927676350050992,Intermittently,Yes and I moved a normal amount,Not aware of others' movement,,
80,AEQ086,Hall,Beethoven,,Continuously,Yes and I moved less than usual,Yes and they moved less than usual,0.08693360010846635,0.09467211898524203
81,AEQ087,Hall,Beethoven,0.07323290647879141,Intermittently,Yes and I moved a normal amount,Not aware of others' movement,0.08691103360043331,0.10863526034833382
82,AEQ088,Hall,Beethoven,0.09353452952866477,Intermittently,Yes and I moved a normal amount,Not aware of others' movement,0.08670907943085966,0.1142230045600082
83,AEQ089,Hall,Beethoven,0.08918980130371656,Intermittently,Not aware of movement,Not aware of others' movement,0.0713587840544497,0.08624619940779135
84,AER090,Hall,Beethoven,0.0932323286934819,Intermittently,Yes and I moved a normal amount,Yes and they moved less than usual,0.08459477349044868,0.10863526034833382
85,BDQ092,Virtual,Beethoven,0.45988097090021857,Rarely,Yes and I moved a normal amount,Not aware of others' movement,,
86,BDQ093,Virtual,Beethoven,0.13437770307535032,Intermittently,Yes and I moved a normal amount,Not aware of others' movement,,
87,BEQ095,Virtual,Beethoven,0.12201758590863243,Intermittently,Not aware of movement,Not aware of others' movement,,
88,BEQ096,Virtual,Beethoven,0.11872037507209068,Intermittently,Yes and I moved more than usual,Not aware of others' movement,,
89,BEQ097,Virtual,Beethoven,0.08859738773487162,Continuously,Yes and I moved less than usual,Yes and they moved less than usual,,
90,BEQ098,Virtual,Beethoven,0.09232829731787859,Continuously,Yes and I moved a normal amount,Not aware of others' movement,,
91,BEQ099,Virtual,Beethoven,0.08851434871626605,Intermittently,Yes and I moved a normal amount,Not aware of others' movement,,
92,BEQ100,Virtual,Beethoven,0.1392355132838757,Rarely,Yes and I moved a normal amount,Not aware of others' movement,,
93,BEQ101,Virtual,Beethoven,0.11948428534667137,Intermittently,Yes and I moved a normal amount,Not aware of others' movement,,
94,BEQ102,Virtual,Beethoven,0.12449381043632775,Intermittently,Yes and I moved less than usual,Not aware of others' movement,,
95,BEQ103,Virtual,Beethoven,0.570279299933297,Intermittently,Yes and I moved a normal amount,Not aware of others' movement,,
96,BEQ104,Virtual,Beethoven,0.14280638482164032,Continuously,Yes and I moved less than usual,Not aware of others' movement,,
97,BEQ105,Virtual,Beethoven,,Rarely,Yes and I moved less than usual,Not aware of others' movement,,
98,BEQ106,Virtual,Beethoven,0.16183601881838505,Intermittently,Yes and I moved a normal amount,Yes and they moved less than usual,,
99,BEQ107,Virtual,Beethoven,0.35397281521624874,Intermittently,Yes and I moved less than usual,Not aware of others' movement,,
100,BEQ108,Virtual,Beethoven,0.06158328891135055,Intermittently,Yes and I moved less than usual,Not aware of others' movement,,
101,BEQ109,Virtual,Beethoven,0.0716002243836982,Intermittently,Yes and I moved a normal amount,Not aware of others' movement,,
102,BEQ110,Virtual,Beethoven,0.016154886473889525,Rarely,Not aware of movement,,,
103,BEQ111,Virtual,Beethoven,0.11762736980796026,Rarely,Yes and I moved a normal amount,Not aware of others' movement,,
104,BEQ112,Virtual,Beethoven,0.10794416098257757,Intermittently,Yes and I moved a normal amount,Not aware of others' movement,,
105,BEQ113,Virtual,Beethoven,0.0508487623284058,Rarely,Yes and I moved a normal amount,Not aware of others' movement,,
106,BEQ114,Virtual,Beethoven,0.20920341824709676,Intermittently,Not aware of movement,Not aware of others' movement,,
107,BEQ115,Virtual,Beethoven,0.10664256394207036,Intermittently,Yes and I moved a normal amount,Not aware of others' movement,,
108,BEQ116,Virtual,Beethoven,0.16461005839962378,Continuously,Yes and I moved less than usual,Not aware of others' movement,,
109,BEQ117,Virtual,Beethoven,0.342741496741477,Intermittently,Yes and I moved a normal amount,Not aware of others' movement,,
110,BEQ118,Virtual,Beethoven,0.18228281856977138,Intermittently,Yes and I moved a normal amount,Not aware of others' movement,,
111,BEQ119,Virtual,Beethoven,,,,,,
0,ADQ001,Hall,Schnittke,,Continuously,Yes and I moved a normal amount,Yes and they moved a normal amount,0.13329869245508644,0.1770649934683128
1,ADQ002,Hall,Schnittke,,Not at all,Yes and I moved less than usual,Not aware of others' movement,0.09046960925612159,0.10770360092534333
2,ADQ003,Hall,Schnittke,0.09243047558732936,Intermittently,Yes and I moved less than usual,Yes and they moved a normal amount,0.10917664737793129,0.1430052744686302
3,ADQ004,Hall,Schnittke,0.1430052744686302,Rarely,Yes and I moved a normal amount,Not aware of others' movement,0.09903287714145032,0.12027783505955646
4,ADQ005,Hall,Schnittke,0.08210477962432723,Intermittently,Yes and I moved less than usual,Yes and they moved a normal amount,0.051291772994210616,0.051291772994210616
5,ADQ006,Hall,Schnittke,0.11709093035119392,Intermittently,Yes and I moved a normal amount,Not aware of others' movement,0.11795721320202292,0.13466988047974798
6,ADQ007,Hall,Schnittke,0.07123562614440741,Continuously,Yes and I moved more than usual,Yes and they moved more than usual,0.10230398159036456,0.1684421296394314
7,ADQ008,Hall,Schnittke,0.08485135014975402,Intermittently,Yes and I moved a normal amount,Yes and they moved a normal amount,0.07553512922367889,0.08604646553084985
8,ADQ009,Hall,Schnittke,0.08330939579705166,Intermittently,Yes and I moved less than usual,Yes and they moved less than usual,0.08456914174181451,0.10591546782101671
9,ADQ010,Hall,Schnittke,0.10629783746217464,Intermittently,Yes and I moved less than usual,Yes and they moved less than usual,0.10726695022357129,0.13534033916127824
10,ADQ011,Hall,Schnittke,0.08500244965983317,Continuously,Yes and I moved less than usual,Yes and they moved less than usual,0.06354663376754956,0.07698565244385022
11,ADQ012,Hall,Schnittke,0.09842789431965225,Intermittently,Yes and I moved a normal amount,Not aware of others' movement,0.10770360092534333,0.10770360092534333
12,ADQ013,Hall,Schnittke,0.05050134501113335,Rarely,Yes and I moved less than usual,Not aware of others' movement,0.09481093986393302,0.1453000021083127
13,ADQ014,Hall,Schnittke,0.0947210198933806,Intermittently,Yes and I moved less than usual,Not aware of others' movement,0.12216530640157384,0.16985047804785441
14,ADQ015,Hall,Schnittke,0.07698565244385022,Continuously,Yes and I moved a normal amount,Yes and they moved more than usual,0.07943878300194693,0.1453000021083127
15,ADQ016,Hall,Schnittke,0.16861351029712562,Not at all,Not aware of movement,Not aware of others' movement,0.06635986415367297,0.08142795531313532
16,ADQ017,Hall,Schnittke,,Intermittently,Yes and I moved less than usual,Not aware of others' movement,0.09842789431965225,0.09842789431965225
17,ADQ018,Hall,Schnittke,0.10949638536682753,Intermittently,Yes and I moved less than usual,Yes and they moved a normal amount,0.11114625913410096,0.13534033916127824
18,ADQ019,Hall,Schnittke,0.10591546782101671,Rarely,Yes and I moved less than usual,Yes and they moved less than usual,0.08257795445908822,0.10229422192575843
19,ADQ020,Hall,Schnittke,0.13524388656712666,Rarely,Yes and I moved less than usual,Not aware of others' movement,,
20,ADQ021,Hall,Schnittke,0.1316840948354307,Rarely,Yes and I moved a normal amount,Not aware of others' movement,0.10971799515971849,0.13466988047974798
21,ADQ022,Hall,Schnittke,0.07082052167419389,Not at all,Not aware of movement,Not aware of others' movement,0.06717488176667973,0.08500244965983317
22,ADQ023,Hall,Schnittke,0.13466988047974798,Rarely,Yes and I moved a normal amount,Yes and they moved a normal amount,0.12626297922957008,0.1770649934683128
23,ADQ024,Hall,Schnittke,0.08953239144186008,Intermittently,Yes and I moved a normal amount,Yes and they moved a normal amount,,
24,ADQ025,Hall,Schnittke,0.1453000021083127,Continuously,Yes and I moved more than usual,Not aware of others' movement,0.07012437517896024,0.08944854028024819
25,ADQ026,Hall,Schnittke,0.09735946510135621,Intermittently,Yes and I moved a normal amount,Not aware of others' movement,0.0786281856574725,0.0786281856574725
26,ADQ027,Hall,Schnittke,0.05703304707862787,Rarely,Not aware of movement,Yes and they moved a normal amount,0.10480619270298773,0.1684421296394314
27,ADQ028,Hall,Schnittke,0.07554278349977846,Rarely,Yes and I moved less than usual,Not aware of others' movement,0.08305091568059492,0.08944854028024819
28,ADQ029,Hall,Schnittke,0.08030481382262751,Intermittently,Yes and I moved more than usual,Not aware of others' movement,0.07417474781500004,0.09784815061886673
29,ADQ030,Hall,Schnittke,0.12340982399677197,Intermittently,Yes and I moved less than usual,Not aware of others' movement,0.07356403928010849,0.077626833176397
