TIME,Criterion
61.32,Select
65.837,Select
79.016,Select
88.74666667,Select
96.04266667,Select
111.5733333,Select
115.2853333,Select
119.0186667,Select
133.376,Select
139.1786667,Select
146.165,Select
149.893,Select
151.872,Select
157.92,Select
173.952,Select
176.16,Select
178.536,Select
180.72,Select
183.36,Select
193.032,Select
222.864,Select
230.304,Select
235.8613333,Select
238.464,Select
268.176,Select
281.952,Select
291.192,Select
307.4346667,Select
313.9626667,Select
333.648,Select
352.44,Select
364.186,Select
380.6293333,Select
382.824,Select
385.2,Select
387.384,Select
390.1226667,Select
394.4533333,Select
419.197,Select
427.205,Select
430.68,Select
436.2453333,Select
452.48,Select
457.632,Select
488.64,Select
497.0453333,Select
515.264,Select
524.0746667,Select
602.8373333,Select
619.752,Select
628.8,Select
646.656,Select
655.632,Select
670.152,Select
672.59,Select
716.28,Select
787.56,Select
819.744,Select
827.088,Select
838.368,Select
844.968,Select
852.456,Select
862.15,Select
882.1,Select
889.272,Select
908.39,Select
917.7,Select
926.232,Select
933.672,Select
940.56,Select
943.872,Select
953.616,Select
989.592,Select
1037.04,Select
1116.456,Select
1121.64,Select
1131.96,Select
1137.36,Select
1148.28,Select
1152.88,Select
1175.52,Select
1188.504,Select
1198.53,Select
1204.584,Select
1215.768,Select
1220.616,Select
1227.216,Select
1233.504,Select
1240.44,Select
1247.256,Select
1253.928,Select
1281.36,Select
1288.992,Select
1310.4,Select
1312.13,Select
1338.37,Select
1346.352,Select
1369.92,Select
1373.34,Select
1375.36,Select
1462.272,Select
1467.31,Select
1472.09,Select
1477.09,Select
1482.43,Select
1524.61,Select
1539.47,Select
1561.95,Select
1565.31,Select
1572.11,Select
1583.58,Select
1608.51,Select
2061.36,Select
2069.71,Select
2086.53,Select
2091.04,Select
2109.893333,Select
2116.85,Select
2140.8,Select
2153.63,Select
2251.093333,Select
2290.35,Select
2323.04,Select
2337.413333,Select
2355.906667,Select
2363.23,Select
2407.346667,Select
2425.973333,Select
2433.2,Select
2435.453333,Select
2461.47,Select
2474.786667,Select
2490.59,Select
2501.426667,Select
2509.813333,Select
2515.12,Select
2520.35,Select
2528.27,Select
2545.426667,Select
2557.133333,Select
2590.96,Select
2610.506667,Select
2667.44,Select
2710.333333,Select
2740.27,Select
2747.133333,Select
2764.693333,Select
2824.0,Select
2834.4,Select
2842.973333,Select
2911.426667,Select
2918.88,Select
2942.853333,Select
2946.933333,Select
2964.51,Select
3009.07,Select
3029.293333,Select
3084.053333,Select
3098.08,Select
3121.63,Select
3142.6,Select
3199.693333,Select
3236.52,Select
3247.293333,Select
3266.45,Select
5399.586667,Select
5424.373333,Select
5447.893333,Select
5567.066667,Select
5664.826667,Select
5740.72,Select
5776.973333,Select
5885.13,Select
6011.506667,Select
6285.946667,Select
6292.81,Select
6299.12,Select
6305.546667,Select
6312.946667,Select
6326.43,Select
6340.493333,Select
6352.546667,Select
6359.026667,Select
6365.226667,Select
6382.12,Select
6396.1,Select
6408.32,Select
6420.18,Select
6433.07,Select
6448.01,Select
6464.86,Select
6472.52,Select
6477.533333,Select
6490.9,Select
6541.55,Select
6568.41,Select
6579.44,Select
6591.01,Select
6606.133333,Select
6614.96,Select
6618.94,Select
6628.573333,Select
6659.52,Select
6677.96,Select
6701.17,Select
6711.346667,Select
6728.4,Select
6757.373333,Select
6816.546667,Select
6829.266667,Select
6839.666667,Select
6847.186667,Select
6851.96,Select
6857.44,Select
6875.44,Select
6898.586667,Select
6902.373333,Select
6918.826667,Select
6932.5,Select
6979.653333,Select
6988.226667,Select
6999.91,Select
7013.213333,Select
7047.0,Select
7078.786667,Select
7141.466667,Select
7144.213333,Select
7169.04,Select
7228.91,Select
7263.52,Select
7297.706667,Select
7315.43,Select
7331.213333,Select
7363.346667,Select
7419.226667,Select
7468.76,Select
7477.77,Select
7517.61,Select
7527.613333,Select
7588.47,Select
7660.992,Select
7711.69,Select
7744.490667,Select
7916.48,Select
7943.424,Select
8026.197333,Select
8041.962667,Select
