,Participant_Code_1,Participant_Code_2,Distance,Familiarity,Relationship
0,ADQ001,ADQ006,3.0,0,Stranger
1,ADQ001,ADQ021,3.0,0,Stranger
2,ADQ001,ADQ023,-2.0,0,Stranger
3,ADQ001,ADQ024,2.0,0,Stranger
4,ADQ001,ADQ031,-2.0,0,Stranger
5,ADQ001,ADQ035,-2.0,0,Stranger
6,ADQ001,ADQ052,-2.0,0,Stranger
7,ADQ001,ADQ066,1.0,1,Friend
8,ADQ001,AEQ080,3.0,0,Stranger
9,ADQ001,AEQ083,3.0,0,Stranger
10,ADQ002,ADQ009,-2.0,0,Stranger
11,ADQ002,ADQ012,2.0,0,Stranger
12,ADQ002,ADQ017,2.0,0,Stranger
13,ADQ002,ADQ019,-2.0,0,Stranger
14,ADQ002,ADQ039,3.0,0,Stranger
15,ADQ002,ADQ045,3.0,0,Stranger
16,ADQ002,ADQ048,3.0,0,Stranger
17,ADQ002,ADQ059,2.0,0,Stranger
18,ADQ002,ADQ061,3.0,1,Friend
19,ADQ002,ADQ062,3.0,0,Stranger
20,ADQ002,ADQ063,3.0,0,Stranger
21,ADQ002,ADR067,-2.0,0,Stranger
22,ADQ002,AEQ079,3.0,0,Stranger
23,ADQ002,AEQ084,3.0,0,Stranger
24,ADQ002,AEQ087,1.0,1,Friend
25,ADQ002,AER090,1.0,0,Stranger
26,ADQ003,ADQ004,2.0,0,Stranger
27,ADQ003,ADQ010,1.0,1,Family_ParentChild
28,ADQ003,ADQ016,3.0,0,Stranger
29,ADQ003,ADQ018,3.0,0,Stranger
30,ADQ003,ADQ030,3.0,0,Stranger
31,ADQ003,ADQ037,3.0,0,Stranger
32,ADQ003,ADQ043,1.0,1,Family_Partner
33,ADQ003,ADQ046,3.0,0,Stranger
34,ADQ003,ADQ047,2.0,0,Stranger
35,ADQ003,ADQ053,3.0,0,Stranger
36,ADQ003,ADQ056,-2.0,0,Stranger
37,ADQ003,ADR069,3.0,0,Stranger
38,ADQ003,AEQ078,3.0,0,Stranger
39,ADQ003,AEQ088,3.0,0,Stranger
40,ADQ004,ADQ010,3.0,0,Stranger
41,ADQ004,ADQ028,3.0,0,Stranger
42,ADQ004,ADQ037,2.0,0,Stranger
43,ADQ004,ADQ043,-2.0,0,Stranger
44,ADQ004,ADQ047,3.0,0,Stranger
45,ADQ004,ADQ048,3.0,0,Stranger
46,ADQ004,ADQ053,3.0,0,Stranger
47,ADQ004,ADQ061,3.0,0,Stranger
48,ADQ004,ADQ062,3.0,0,Stranger
49,ADQ004,ADR067,3.0,0,Stranger
50,ADQ004,ADR069,2.0,0,Stranger
51,ADQ004,AEQ081,3.0,0,Stranger
52,ADQ004,AEQ082,3.0,0,Stranger
53,ADQ005,ADQ016,3.0,0,Stranger
54,ADQ005,ADQ018,3.0,0,Stranger
55,ADQ005,ADQ047,3.0,0,Stranger
56,ADQ005,ADQ051,2.0,0,Stranger
57,ADQ005,ADQ053,3.0,0,Stranger
58,ADQ005,AEQ078,-2.0,0,Stranger
59,ADQ005,AEQ080,3.0,0,Stranger
60,ADQ005,AEQ089,3.0,0,Stranger
61,ADQ006,ADQ021,1.0,1,Friend
62,ADQ006,ADQ023,2.0,0,Stranger
63,ADQ006,ADQ031,2.0,0,Stranger
64,ADQ006,ADQ035,3.0,0,Stranger
65,ADQ006,ADQ037,3.0,0,Stranger
66,ADQ006,ADQ052,2.0,0,Stranger
67,ADQ006,ADQ053,3.0,0,Stranger
68,ADQ006,ADQ061,3.0,0,Stranger
69,ADQ006,ADQ066,3.0,0,Stranger
70,ADQ006,ADR069,3.0,0,Stranger
71,ADQ006,AEQ080,3.0,0,Stranger
72,ADQ006,AEQ081,-2.0,0,Stranger
73,ADQ006,AEQ082,-2.0,0,Stranger
74,ADQ006,AEQ083,3.0,0,Stranger
75,ADQ007,ADQ009,3.0,0,Stranger
76,ADQ007,ADQ011,-2.0,0,Stranger
77,ADQ007,ADQ013,3.0,0,Stranger
78,ADQ007,ADQ015,-2.0,0,Stranger
79,ADQ007,ADQ019,3.0,0,Stranger
80,ADQ007,ADQ022,-2.0,0,Stranger
81,ADQ007,ADQ025,-2.0,0,Stranger
82,ADQ007,ADQ027,1.0,0,Stranger
83,ADQ007,ADQ029,3.0,0,Stranger
84,ADQ007,ADQ032,3.0,0,Stranger
85,ADQ007,ADQ034,3.0,0,Stranger
86,ADQ007,ADQ036,1.0,1,Friend
87,ADQ007,ADQ039,2.0,0,Stranger
88,ADQ007,ADQ045,2.0,0,Stranger
89,ADQ007,ADQ054,3.0,0,Stranger
90,ADQ007,ADQ062,3.0,0,Stranger
91,ADQ007,ADQ063,2.0,0,Stranger
92,ADQ007,ADQ064,3.0,0,Stranger
93,ADQ007,ADQ065,3.0,0,Stranger
94,ADQ007,ADR070,3.0,0,Stranger
95,ADQ008,ADQ038,1.0,1,Friend
96,ADQ008,ADQ058,-2.0,0,Stranger
97,ADQ008,ADQ060,1.0,1,Friend
98,ADQ008,AEQ086,3.0,0,Stranger
99,ADQ009,ADQ012,3.0,0,Stranger
100,ADQ009,ADQ017,3.0,0,Stranger
101,ADQ009,ADQ019,1.0,0,Stranger
102,ADQ009,ADQ027,3.0,0,Stranger
103,ADQ009,ADQ036,3.0,0,Stranger
104,ADQ009,ADQ039,-2.0,0,Stranger
105,ADQ009,ADQ045,-2.0,0,Stranger
106,ADQ009,ADQ048,3.0,0,Stranger
107,ADQ009,ADQ059,3.0,0,Stranger
108,ADQ009,ADQ061,3.0,0,Stranger
109,ADQ009,ADQ062,-2.0,0,Stranger
110,ADQ009,ADQ063,-2.0,0,Stranger
111,ADQ009,ADQ065,3.0,0,Stranger
112,ADQ009,ADR067,3.0,0,Stranger
113,ADQ009,ADR070,3.0,0,Stranger
114,ADQ009,AEQ079,2.0,0,Stranger
115,ADQ009,AEQ084,3.0,0,Stranger
116,ADQ009,AEQ087,2.0,0,Stranger
117,ADQ009,AER090,2.0,0,Stranger
118,ADQ010,ADQ016,3.0,0,Stranger
119,ADQ010,ADQ018,1.0,0,Stranger
120,ADQ010,ADQ030,3.0,0,Stranger
121,ADQ010,ADQ037,3.0,0,Stranger
122,ADQ010,ADQ043,3.0,1,Family_ParentChild
123,ADQ010,ADQ046,3.0,0,Stranger
124,ADQ010,ADQ047,2.0,0,Stranger
125,ADQ010,ADQ053,3.0,0,Stranger
126,ADQ010,ADQ056,-2.0,0,Stranger
127,ADQ010,ADR069,3.0,0,Stranger
128,ADQ010,ADR071,3.0,0,Stranger
129,ADQ010,AEQ078,2.0,0,Stranger
130,ADQ010,AEQ088,3.0,0,Stranger
131,ADQ011,ADQ013,-2.0,0,Stranger
132,ADQ011,ADQ015,1.0,0,Stranger
133,ADQ011,ADQ022,1.0,1,Friend
134,ADQ011,ADQ025,3.0,0,Stranger
135,ADQ011,ADQ027,2.0,0,Stranger
136,ADQ011,ADQ029,-2.0,0,Stranger
137,ADQ011,ADQ032,-2.0,0,Stranger
138,ADQ011,ADQ034,3.0,0,Stranger
139,ADQ011,ADQ036,2.0,0,Stranger
140,ADQ011,ADQ039,3.0,0,Stranger
141,ADQ011,ADQ040,3.0,0,Stranger
142,ADQ011,ADQ044,3.0,0,Stranger
143,ADQ011,ADQ045,3.0,0,Stranger
144,ADQ011,ADQ054,-2.0,0,Stranger
145,ADQ011,ADQ057,3.0,0,Stranger
146,ADQ011,ADQ063,3.0,0,Stranger
147,ADQ011,ADQ064,3.0,0,Stranger
148,ADQ011,ADQ065,3.0,0,Stranger
149,ADQ012,ADQ017,1.0,1,Friend
150,ADQ012,ADQ019,3.0,0,Stranger
151,ADQ012,ADQ020,3.0,0,Stranger
152,ADQ012,ADQ026,3.0,0,Stranger
153,ADQ012,ADQ058,3.0,0,Stranger
154,ADQ012,ADQ059,1.0,0,Stranger
155,ADQ012,ADQ061,3.0,0,Stranger
156,ADQ012,ADR067,3.0,0,Stranger
157,ADQ012,AEQ079,-2.0,0,Stranger
158,ADQ012,AEQ084,3.0,0,Stranger
159,ADQ012,AEQ087,-2.0,0,Stranger
160,ADQ012,AER090,-2.0,0,Stranger
161,ADQ013,ADQ014,3.0,0,Stranger
162,ADQ013,ADQ015,2.0,0,Stranger
163,ADQ013,ADQ022,3.0,0,Stranger
164,ADQ013,ADQ025,2.0,0,Stranger
